District,State,Year,Month,Month_Number,Scenario,Data_Type,Rainfall_mm,Normal_Rainfall_mm,Departure_mm,Departure_Percent,Rainfall_Category,Flood_Probability_Percent
49,0,2025,4,0.0,5,0,0.0178191924145823,0.0159651669085631,0.4285190615835777,0.4053112755768394,3,0.109
49,0,2025,3,0.0909090909090909,5,0,0.0137322216772927,0.0159651669085631,0.4239369501466276,0.3064867218110579,3,0.0
49,0,2025,7,0.1818181818181818,5,1,0.0145496158247506,0.0159651669085631,0.4248533724340176,0.326512842838485,3,0.0
49,0,2025,0,0.2727272727272727,5,1,0.028445316331535,0.0478955007256894,0.4202712609970674,0.2868959512407488,3,0.0
49,0,2025,8,0.3636363636363636,5,1,0.0709498119993461,0.1117561683599419,0.4276026392961877,0.3561166739225076,3,0.018
49,0,2025,6,0.4545454545454545,5,1,0.288213176393657,0.4629898403483309,0.4494134897360703,0.3800609490639965,3,0.063
49,0,2025,5,0.5454545454545454,5,1,0.4449893738760831,0.7822931785195937,0.4235703812316715,0.3443622115803221,3,0.0
49,0,2025,1,0.6363636363636364,5,1,0.4062448912865784,0.6865021770682148,0.4406158357771261,0.3604701784936874,3,0.027
49,0,2025,11,0.7272727272727273,5,1,0.2888670917116234,0.4629898403483309,0.4501466275659824,0.3813670004353504,3,0.064
49,0,2025,10,0.8181818181818182,5,1,0.1698545038417525,0.3033381712626996,0.4175219941348974,0.3282542446669569,3,0.0
49,0,2025,9,0.9090909090909092,5,1,0.0595062939349354,0.0798258345428156,0.4349340175953079,0.412276882890727,3,0.121
49,0,2025,2,1.0,5,1,0.0188000653915317,0.0159651669085631,0.4296187683284457,0.4292555507183282,3,0.153
50,0,2025,4,0.0,3,0,0.0119339545528854,0.0145137880986937,0.4228372434017595,0.2799303439268611,3,0.0
50,0,2025,3,0.0909090909090909,3,0,0.0119339545528854,0.0145137880986937,0.4228372434017595,0.2799303439268611,3,0.0
50,0,2025,7,0.1818181818181818,3,1,0.0119339545528854,0.0145137880986937,0.4228372434017595,0.2799303439268611,3,0.0
50,0,2025,0,0.2727272727272727,3,1,0.0264835703776361,0.0449927431059506,0.4199046920821114,0.2799303439268611,3,0.0
50,0,2025,8,0.3636363636363636,3,1,0.0935098904691842,0.1059506531204644,0.4565615835777126,0.520243796255986,1,0.32
50,0,2025,6,0.4545454545454545,3,1,0.3578551577570705,0.4412191582002903,0.5412390029325513,0.520243796255986,1,0.32
50,0,2025,5,0.5454545454545454,3,1,0.3621056073238516,0.7460087082728593,0.3535557184750733,0.2808010448410971,3,0.0
50,0,2025,1,0.6363636363636364,3,1,0.3182932810201079,0.6545718432510885,0.3621700879765396,0.2808010448410971,3,0.0
50,0,2025,11,0.7272727272727273,3,1,0.2162824914173615,0.4412191582002903,0.3825146627565982,0.2808010448410971,3,0.0
50,0,2025,10,0.8181818181818182,3,1,0.1432074546346248,0.2888243831640057,0.3968108504398827,0.2808010448410971,3,0.0
50,0,2025,9,0.9090909090909092,3,1,0.0411966650318783,0.0754716981132075,0.4171554252199413,0.2812363952982151,3,0.0
50,0,2025,2,1.0,3,1,0.0119339545528854,0.0145137880986937,0.4228372434017595,0.2799303439268611,3,0.0
45,0,2025,4,0.0,1,0,0.0181461500735654,0.0174165457184325,0.4279692082111437,0.391380060949064,3,0.083
45,0,2025,3,0.0909090909090909,1,0,0.0181461500735654,0.0174165457184325,0.4279692082111437,0.391380060949064,3,0.083
45,0,2025,7,0.1818181818181818,1,1,0.0181461500735654,0.0174165457184325,0.4279692082111437,0.391380060949064,3,0.083
45,0,2025,0,0.2727272727272727,1,1,0.0387444825895046,0.0507982583454281,0.4299853372434017,0.3896386591205921,3,0.08
45,0,2025,8,0.3636363636363636,1,1,0.0801046264508746,0.1175616835994194,0.4342008797653959,0.3896386591205921,3,0.08
45,0,2025,6,0.4545454545454545,1,1,0.0820663724047735,0.4847605224963715,0.2045454545454545,0.0413582934262081,0,0.0
45,0,2025,5,0.5454545454545454,1,1,0.1383030897498774,0.8185776487663281,0.0568181818181818,0.0413582934262081,0,0.0
45,0,2025,1,0.6363636363636364,1,1,0.4523459212032042,0.7184325108853411,0.4721407624633431,0.3896386591205921,3,0.08
45,0,2025,11,0.7272727272727273,1,1,0.3076671571031552,0.4847605224963715,0.4574780058651027,0.3896386591205921,3,0.08
45,0,2025,10,0.8181818181818182,1,1,0.2041850580349845,0.3178519593613933,0.4468475073313783,0.3896386591205921,3,0.08
45,0,2025,9,0.9090909090909092,1,1,0.0595062939349354,0.0841799709724238,0.4321847507331378,0.39007400957771,3,0.081
45,0,2025,2,1.0,1,1,0.0181461500735654,0.0174165457184325,0.4279692082111437,0.391380060949064,3,0.083
8,0,2025,4,0.0,4,0,0.0336766388752656,0.0188679245283018,0.4444648093841642,0.7161515019590771,2,0.68
8,0,2025,3,0.0909090909090909,4,0,0.0400523132254373,0.0188679245283018,0.4516129032258064,0.8576404005224205,2,0.94
8,0,2025,7,0.1818181818181818,4,1,0.0395618767369625,0.0188679245283018,0.4510630498533724,0.846756639094471,2,0.92
8,0,2025,0,0.2727272727272727,4,1,0.0745463462481608,0.0537010159651669,0.468291788856305,0.7670875054418808,2,0.773
8,0,2025,8,0.3636363636363636,4,1,0.1592283799247997,0.1233671988388969,0.5192448680351907,0.8084457988680889,2,0.85
8,0,2025,6,0.4545454545454545,4,1,0.5172470165113618,0.5065312046444123,0.6787023460410557,0.6800174140182847,2,0.613
8,0,2025,5,0.5454545454545454,4,1,1.0,0.8548621190130624,1.0,0.8006094906399652,2,0.835
8,0,2025,1,0.6363636363636364,4,1,0.6347882949158085,0.7503628447024674,0.656524926686217,0.5537657814540705,1,0.382
8,0,2025,11,0.7272727272727273,4,1,0.5407879679581494,0.5065312046444123,0.7050953079178885,0.7148454505877231,2,0.677
8,0,2025,10,0.8181818181818182,4,1,0.2810201078960275,0.332365747460087,0.5238269794721407,0.5402699172834131,1,0.357
8,0,2025,9,0.9090909090909092,4,1,0.0925290174922347,0.0885341074020319,0.4664589442815249,0.6147148454505877,1,0.493
8,0,2025,2,1.0,4,1,0.0264835703776361,0.0188679245283018,0.4364002932551319,0.5563778841967784,1,0.387
53,0,2025,4,0.0,2,0,0.0014713094654242,0.0145137880986937,0.4111070381231672,0.0143665650848933,0,0.0
53,0,2025,3,0.0909090909090909,2,0,0.0034330554193231,0.0145137880986937,0.4133064516129032,0.063996517196343,0,0.0
53,0,2025,7,0.1818181818181818,2,1,0.00310609776034,0.0145137880986937,0.4129398826979472,0.0557248585111014,0,0.0
53,0,2025,0,0.2727272727272727,2,1,0.0091548144515285,0.0449927431059506,0.4004765395894428,0.0600783630822812,0,0.0
53,0,2025,8,0.3636363636363636,2,1,0.0150400523132254,0.1059506531204644,0.3685850439882698,0.0226382237701349,0,0.0
53,0,2025,6,0.4545454545454545,2,1,0.1350335131600458,0.4412191582002903,0.2914222873900293,0.1436656508489334,0,0.0
53,0,2025,5,0.5454545454545454,2,1,0.107242112146477,0.7460087082728593,0.0678152492668621,0.0222028733130169,0,0.0
53,0,2025,1,0.6363636363636364,2,1,0.2120320418505804,0.6545718432510885,0.2430351906158357,0.1580322159338267,0,0.0
53,0,2025,11,0.7272727272727273,2,1,0.0609776034003596,0.4412191582002903,0.2083944281524927,0.0182847191989551,0,0.0
53,0,2025,10,0.8181818181818182,2,1,0.0575445479810364,0.2888243831640057,0.3007697947214076,0.0631258162821071,0,0.0
53,0,2025,9,0.9090909090909092,2,1,0.0255026974006866,0.0754716981132075,0.3995601173020528,0.1484545058772312,0,0.0
53,0,2025,2,1.0,2,1,0.0027791401013568,0.0145137880986937,0.4125733137829912,0.0474531998258598,0,0.0
22,0,2025,4,0.0,0,0,0.0120974333823769,0.011611030478955,0.4248533724340176,0.3230300391815411,3,0.0
22,0,2025,3,0.0909090909090909,0,0,0.0120974333823769,0.011611030478955,0.4248533724340176,0.3230300391815411,3,0.0
22,0,2025,7,0.1818181818181818,0,1,0.0120974333823769,0.011611030478955,0.4248533724340176,0.3230300391815411,3,0.0
22,0,2025,0,0.2727272727272727,0,1,0.0269740068661108,0.0391872278664731,0.4241202346041056,0.325642141924249,3,0.0
22,0,2025,8,0.3636363636363636,0,1,0.0564001961745954,0.0943396226415094,0.4222873900293255,0.3243360905528951,3,0.0
22,0,2025,6,0.4545454545454545,0,1,0.2187346738597352,0.397677793904209,0.4127565982404692,0.3243360905528951,3,0.0
