District,State,Urban_Percent,Agriculture_Percent,Forest_Percent,Waterbody_Percent,Wasteland_Percent,Impervious_Surface_Percent,Green_Cover_Percent,Runoff_Potential,Urban_Heat_Island_Risk
49,0,0.5186781609195401,0.3649851632047477,0.1187150837988827,0.0793650793650793,0.392,0.5191570881226055,0.1438450899031812,0,3
50,0,0.1580459770114942,0.7551928783382789,0.1424581005586592,0.0634920634920634,0.3226666666666666,0.1590038314176245,0.2033195020746888,2,2
45,0,0.2068965517241378,0.8560830860534124,0.0991620111731843,0.2698412698412699,0.0293333333333333,0.2068965517241379,0.1701244813278008,2,2
8,0,0.1451149425287356,0.3353115727002967,0.0893854748603352,0.4656084656084657,1.0,0.1455938697318007,0.1120331950207468,1,2
53,0,0.2025862068965516,0.3679525222551928,0.0628491620111732,0.5978835978835979,0.8186666666666667,0.2030651340996169,0.0885200553250346,2,2
22,0,0.2629310344827586,0.5400593471810088,0.1634078212290503,0.455026455026455,0.2773333333333334,0.264367816091954,0.2047026279391425,2,2
11,0,0.785919540229885,0.2002967359050445,0.053072625698324,0.1957671957671957,0.2586666666666666,0.7854406130268201,0.0636237897648686,0,1
39,0,0.1853448275862068,0.9421364985163204,0.1843575418994413,0.2063492063492064,0.0,0.185823754789272,0.2627939142461964,2,2
34,0,0.1436781609195402,0.5296735905044511,0.079608938547486,0.8095238095238095,0.4986666666666667,0.1436781609195402,0.1203319502074688,1,2
24,0,0.1724137931034482,0.7077151335311572,0.111731843575419,0.2169312169312169,0.3626666666666667,0.1724137931034482,0.1687413554633471,2,2
17,0,0.1738505747126436,0.7002967359050445,0.0768156424581005,0.0952380952380952,0.5013333333333334,0.1743295019157088,0.1341632088520055,2,2
3,0,0.1364942528735632,0.8857566765578635,0.0837988826815642,0.0317460317460317,0.256,0.1379310344827586,0.1576763485477178,1,2
7,0,0.2212643678160919,0.8501483679525221,0.1424581005586592,0.3068783068783069,0.0,0.2222222222222222,0.2130013831258644,2,2
1,0,0.0244252873563218,0.1824925816023739,0.9385474860335196,0.3280423280423281,0.0,0.0249042145593869,0.9391424619640388,1,2
2,0,0.0962643678160919,0.9614243323442137,0.0712290502793296,0.0952380952380952,0.1866666666666666,0.0957854406130268,0.1521438450899032,1,2
5,0,0.3189655172413793,0.5771513353115726,0.1634078212290503,1.0,0.0,0.3199233716475095,0.2074688796680498,2,3
9,0,0.1494252873563218,0.956973293768546,0.1969273743016759,0.3280423280423281,0.0,0.1494252873563218,0.2766251728907331,1,2
21,0,0.160919540229885,0.6083086053412462,0.1703910614525139,0.9576719576719576,0.0773333333333333,0.160919540229885,0.2171507607192254,2,2
37,0,0.0373563218390804,0.1854599406528189,1.0,0.1322751322751322,0.0,0.0383141762452107,1.0,1,2
44,0,0.1738505747126436,0.8115727002967359,0.1773743016759776,0.1005291005291005,0.1066666666666666,0.1743295019157088,0.2434301521438451,2,2
47,0,0.0603448275862069,0.8724035608308603,0.1019553072625698,0.1216931216931217,0.3413333333333334,0.0613026819923371,0.1742738589211618,1,2
13,1,0.9841954022988504,0.0,0.0321229050279329,0.0793650793650793,0.3493333333333333,0.984674329501916,0.0235131396957123,3,0
41,1,1.0,0.0741839762611276,0.0,0.0,0.288,1.0,0.0,3,0
29,1,0.5330459770114941,0.3293768545994064,0.0991620111731843,0.0476190476190476,0.4826666666666667,0.5325670498084292,0.1217150760719225,0,3
42,1,0.2140804597701149,0.903560830860534,0.2402234636871508,0.2962962962962963,0.0,0.2145593869731801,0.313969571230982,2,2
28,1,0.1997126436781608,0.9688427299703262,0.1857541899441341,0.2698412698412699,0.0,0.1992337164750958,0.2669432918395574,2,2
36,1,0.1235632183908045,0.6409495548961424,0.1047486033519553,0.2433862433862434,0.5733333333333334,0.1245210727969348,0.1562932226832641,1,2
18,1,0.1781609195402298,0.890207715133531,0.079608938547486,0.2433862433862434,0.072,0.1781609195402299,0.1549100968188105,2,2
14,1,0.1293103448275862,1.0,0.1675977653631284,0.0317460317460317,0.0,0.1302681992337164,0.2517289073305671,1,2
40,1,0.050287356321839,0.64540059347181,0.1089385474860335,0.1957671957671957,0.7173333333333334,0.0498084291187739,0.1604426002766251,1,2
19,1,0.153735632183908,0.8560830860534124,0.1717877094972067,0.1851851851851851,0.032,0.1532567049808429,0.2420470262793914,1,2
38,1,0.0905172413793103,0.9643916913946586,0.0712290502793296,0.2433862433862434,0.1173333333333333,0.0900383141762452,0.1535269709543568,1,2
16,1,0.0876436781609195,0.7982195845697329,0.0670391061452514,0.0423280423280423,0.5306666666666666,0.0881226053639846,0.1327800829875519,1,2
30,1,0.0330459770114942,0.2255192878338278,0.7206703910614525,0.1164021164021164,0.376,0.0325670498084291,0.727524204702628,1,2
6,1,0.021551724137931,0.2566765578635015,0.8840782122905028,0.3703703703703704,0.0,0.0210727969348658,0.8921161825726142,1,2
20,1,0.1422413793103448,0.6795252225519287,0.244413407821229,0.1269841269841269,0.2613333333333333,0.1417624521072797,0.2973720608575381,1,2
32,1,0.1178160919540229,0.7210682492581602,0.1857541899441341,0.074074074074074,0.3706666666666667,0.1187739463601532,0.2434301521438451,1,2
46,1,0.175287356321839,0.6468842729970326,0.1717877094972067,0.0529100529100529,0.4346666666666667,0.1762452107279693,0.2226832641770401,2,2
54,1,0.168103448275862,0.6913946587537091,0.2513966480446927,0.0264550264550264,0.2293333333333333,0.1685823754789272,0.3056708160442601,2,2
26,1,0.0488505747126436,0.6468842729970326,0.0837988826815642,0.0211640211640211,0.8533333333333334,0.0498084291187739,0.1355463347164592,1,2
31,1,0.175287356321839,0.7789317507418396,0.2374301675977653,0.2857142857142857,0.0,0.1762452107279693,0.3001383125864454,2,2
51,1,0.1020114942528735,0.7270029673590503,0.1843575418994413,0.0582010582010582,0.4,0.1034482758620689,0.2434301521438451,1,2
10,1,0.1192528735632183,0.6468842729970326,0.0586592178770949,0.074074074074074,0.744,0.1187739463601532,0.1106500691562932,1,2
33,1,0.0416666666666666,0.7418397626112759,0.1243016759776536,0.1481481481481482,0.5546666666666668,0.0421455938697318,0.1839557399723375,1,2
