District,State,Year,Month,Month_Number,Case_Type,Soil_Moisture_Percent,Saturation_Level,Field_Capacity_Percent,Wilting_Point_Percent,Excess_Water_mm,Waterlogging_Risk
49,0,2020,4,0.0,4,0.1327713382507903,4,0.4623115577889445,0.6699999999999999,0.0,2
49,0,2020,3,0.0909090909090909,4,0.2802950474183351,1,0.6633165829145726,0.5700000000000001,0.0,2
49,0,2020,7,0.1818181818181818,4,0.1707060063224446,4,0.4572864321608041,0.3500000000000001,0.0,2
49,0,2020,0,0.2727272727272727,4,0.2771338250790305,1,0.5527638190954773,0.04,0.0,2
49,0,2020,8,0.3636363636363636,4,0.1538461538461538,4,0.1708542713567837,0.0999999999999999,0.0,2
49,0,2020,6,0.4545454545454545,4,0.458377239199157,2,0.2713567839195978,0.6599999999999999,0.0,2
49,0,2020,5,0.5454545454545454,4,0.4362486828240252,2,0.7989949748743719,0.05,0.0,2
49,0,2020,1,0.6363636363636364,4,0.4541622760800843,2,0.3266331658291457,0.1699999999999999,0.0,2
49,0,2020,11,0.7272727272727273,4,0.5437302423603794,2,0.7939698492462308,0.6699999999999999,0.0,3
49,0,2020,10,0.8181818181818182,4,0.422550052687039,2,0.316582914572864,0.8100000000000003,0.0,2
49,0,2020,9,0.9090909090909092,4,0.3129610115911486,1,0.3969849246231154,0.72,0.0,2
49,0,2020,2,1.0,4,0.1928345626975764,4,0.7638190954773867,0.75,0.0,2
50,0,2020,4,0.0,2,0.3477344573234984,1,0.6482412060301506,0.3800000000000001,0.0,2
50,0,2020,3,0.0909090909090909,2,0.4404636459430979,2,0.9648241206030148,0.53,0.0,2
50,0,2020,7,0.1818181818181818,2,0.2982086406743941,1,0.5829145728643217,0.1599999999999999,0.0,2
50,0,2020,0,0.2727272727272727,2,0.303477344573235,1,0.1959798994974873,0.91,0.0,2
50,0,2020,8,0.3636363636363636,2,0.464699683877766,2,0.3919597989949746,0.27,0.0,2
50,0,2020,6,0.4545454545454545,2,0.7175974710221285,0,0.0703517587939697,0.4099999999999999,0.0286225402504472,3
50,0,2020,5,0.5454545454545454,2,0.7734457323498419,0,0.92964824120603,0.03,0.1234347048300536,1
50,0,2020,1,0.6363636363636364,2,0.7597471022128556,0,0.6432160804020097,0.1099999999999999,0.1592128801431127,1
50,0,2020,11,0.7272727272727273,2,0.7175974710221285,0,0.5477386934673365,0.56,0.071556350626118,3
50,0,2020,10,0.8181818181818182,2,0.815595363540569,0,0.7185929648241205,0.77,0.2987477638640429,1
50,0,2020,9,0.9090909090909092,2,0.3076923076923076,1,0.6783919597989949,0.99,0.0,2
50,0,2020,2,1.0,2,0.3624868282402528,1,0.1708542713567837,0.9800000000000002,0.0,2
45,0,2020,4,0.0,0,0.1801896733403583,4,0.316582914572864,0.5700000000000001,0.0,2
45,0,2020,3,0.0909090909090909,0,0.1443624868282402,4,0.9698492462311554,0.18,0.0,2
45,0,2020,7,0.1818181818181818,0,0.1032665964172813,4,0.6834170854271358,0.6000000000000001,0.0,2
45,0,2020,0,0.2727272727272727,0,0.0400421496311907,4,0.7185929648241205,0.01,0.0,2
45,0,2020,8,0.3636363636363636,0,0.0832455216016859,4,0.9195979899497484,0.0599999999999999,0.0,2
45,0,2020,6,0.4545454545454545,0,0.2139093782929399,1,0.0150753768844218,0.78,0.0,2
45,0,2020,5,0.5454545454545454,0,0.2760800842992623,1,0.6030150753768844,0.0599999999999999,0.0,2
45,0,2020,1,0.6363636363636364,0,0.1475237091675448,4,0.7688442211055273,0.5900000000000001,0.0,2
45,0,2020,11,0.7272727272727273,0,0.1707060063224446,4,0.2060301507537687,0.6100000000000001,0.0,2
45,0,2020,10,0.8181818181818182,0,0.1854583772391991,4,0.6331658291457287,0.6000000000000001,0.0,2
45,0,2020,9,0.9090909090909092,0,0.0337197049525816,4,0.2110552763819093,0.92,0.0,2
45,0,2020,2,1.0,0,0.1959957850368809,4,0.437185929648241,0.79,0.0,2
8,0,2020,4,0.0,7,0.3361433087460484,1,0.3417085427135675,0.56,0.0,2
8,0,2020,3,0.0909090909090909,7,0.3877766069546891,1,0.9899497487437184,0.09,0.0,2
8,0,2020,7,0.1818181818181818,7,0.3182297154899894,1,0.5577889447236182,0.8899999999999999,0.0,2
8,0,2020,0,0.2727272727272727,7,0.4889357218124341,2,0.6683417085427132,0.25,0.0,2
8,0,2020,8,0.3636363636363636,7,0.3951527924130664,1,0.5879396984924621,0.4300000000000001,0.0,2
8,0,2020,6,0.4545454545454545,7,0.8703898840885141,0,0.3467336683417084,0.27,0.5241502683363148,1
8,0,2020,5,0.5454545454545454,7,0.8535300316122234,0,0.5829145728643217,0.8699999999999999,0.552772808586762,1
8,0,2020,1,0.6363636363636364,7,0.7850368809272918,0,0.3567839195979898,0.7300000000000002,0.2880143112701252,1
8,0,2020,11,0.7272727272727273,7,0.7386722866174921,0,0.778894472361809,0.2099999999999999,0.1717352415026833,1
8,0,2020,10,0.8181818181818182,7,0.8524762908324552,0,0.4723618090452259,0.3,0.4937388193202147,1
8,0,2020,9,0.9090909090909092,7,0.476290832455216,2,0.4824120603015076,0.94,0.0,2
8,0,2020,2,1.0,7,0.4868282402528978,2,0.3065326633165828,0.05,0.0,2
53,0,2020,4,0.0,1,0.4899894625922023,2,0.7336683417085428,0.8500000000000001,0.0,2
53,0,2020,3,0.0909090909090909,1,0.5763962065331929,2,0.2964824120603013,0.91,0.0,3
53,0,2020,7,0.1818181818181818,1,0.5669125395152792,2,0.2060301507537687,0.29,0.0,3
53,0,2020,0,0.2727272727272727,1,0.4067439409905163,1,0.879396984924623,0.4199999999999999,0.0,2
53,0,2020,8,0.3636363636363636,1,0.5679662802950474,2,0.2412060301507534,0.97,0.0,3
53,0,2020,6,0.4545454545454545,1,0.9483667017913592,3,0.3115577889447234,0.01,0.813953488372093,0
53,0,2020,5,0.5454545454545454,1,1.0,3,0.3517587939698492,0.0199999999999999,0.9338103756708408,0
53,0,2020,1,0.6363636363636364,1,0.9683877766069549,3,0.8693467336683414,0.4599999999999999,0.924865831842576,0
53,0,2020,11,0.7272727272727273,1,0.7966280295047418,0,0.4321608040201004,0.0599999999999999,0.366726296958855,1
53,0,2020,10,0.8181818181818182,1,0.970495258166491,3,0.3266331658291457,0.03,0.9499105545617174,0
53,0,2020,9,0.9090909090909092,1,0.5310853530031612,2,0.487437185929648,0.97,0.0,3
53,0,2020,2,1.0,1,0.4404636459430979,2,0.9246231155778896,0.97,0.0,2
22,0,2020,4,0.0,3,0.2771338250790305,1,0.5477386934673365,0.0699999999999999,0.0,2
22,0,2020,3,0.0909090909090909,3,0.2434141201264489,1,0.2814070351758793,0.33,0.0,2
22,0,2020,7,0.1818181818181818,3,0.1917808219178082,4,0.6331658291457287,0.95,0.0,2
22,0,2020,0,0.2727272727272727,3,0.1580611169652265,4,0.6934673366834168,0.3900000000000001,0.0,2
22,0,2020,8,0.3636363636363636,3,0.2845100105374077,1,0.7587939698492461,0.49,0.0,2
22,0,2020,6,0.4545454545454545,3,0.3624868282402528,1,0.0050251256281403,0.24,0.0,2
22,0,2020,5,0.5454545454545454,3,0.4025289778714436,1,0.7085427135678393,0.7300000000000002,0.0,2
22,0,2020,1,0.6363636363636364,3,0.3161222339304531,1,0.8542713567839195,0.6599999999999999,0.0,2
22,0,2020,11,0.7272727272727273,3,0.4025289778714436,1,0.6180904522613062,0.8100000000000003,0.0,2
