District,State,Latitude,Longitude
Visakhapatnam,Andhra Pradesh,0.6945510835913318,0.8989035087719319
Vizianagaram,Andhra Pradesh,0.24303405572755432,0.9444444444444464
Srikakulam,Andhra Pradesh,0.4551083591331273,0.2675438596491251
East Godavari,Andhra Pradesh,0.5882352941176472,0.6915204678362574
West Godavari,Andhra Pradesh,0.5727554179566563,0.6184210526315805
Krishna,Andhra Pradesh,0.5263157894736845,0.5307017543859676
Guntur,Andhra Pradesh,0.4798761609907123,0.4868421052631611
Prakasam,Andhra Pradesh,0.03869969040247678,0.9181286549707615
Nellore,Andhra Pradesh,0.1857585139318889,0.4137426900584824
Kurnool,Andhra Pradesh,0.4024767801857587,0.13596491228070384
Kadapa,Andhra Pradesh,0.8436532507739938,0.5321637426900594
Anantapur,Andhra Pradesh,0.2321981424148607,0.07748538011695949
Chittoor,Andhra Pradesh,0.0,0.2967836257309955
Alluri Sitharama Raju,Andhra Pradesh,0.25077399380804977,0.9795321637426913
Anakapalli,Andhra Pradesh,0.5526315789473686,0.9415204678362592
Bapatla,Andhra Pradesh,0.5975232198142413,0.3040935672514635
Eluru,Andhra Pradesh,0.31269349845201244,0.5526315789473699
Konaseema,Andhra Pradesh,0.702786377708978,0.3157894736842124
Parvathipuram Manyam,Andhra Pradesh,0.5077399380804954,0.34356725146199096
Sri Sathya Sai,Andhra Pradesh,0.7260061919504648,0.4678362573099424
Tirupati,Andhra Pradesh,0.040247678018576316,0.1593567251461998
Hyderabad,Telangana,0.6478328173374615,0.20711988304093687
Rangareddy,Telangana,0.6191950464396285,0.13596491228070384
Medchal Malkajgiri,Telangana,0.8436532507739938,0.8830409356725166
Sangareddy,Telangana,0.6842105263157898,0.14619883040935733
Medak,Telangana,0.7492260061919502,0.1754385964912295
Nizamabad,Telangana,0.8467492260061924,0.15058479532163815
Kamareddy,Telangana,0.33746130030959787,0.4561403508771935
Jagtial,Telangana,0.3544891640866874,0.7368421052631593
Rajanna Sircilla,Telangana,0.09442724458204355,0.19152046783625742
Karimnagar,Telangana,0.8095975232198143,0.3011695906432763
Peddapalli,Telangana,0.45665634674922595,0.10380116959064445
Jayashankar Bhupalpally,Telangana,0.7755417956656347,0.29385964912280826
Mulugu,Telangana,0.12074303405572762,0.6812865497076039
Bhadradri Kothagudem,Telangana,0.004643962848297267,0.624269005847955
Khammam,Telangana,0.6191950464396285,0.44298245614035103
Nalgonda,Telangana,0.5959752321981426,0.3201754385964932
Suryapet,Telangana,0.06037151702786403,0.10964912280701888
Yadadri Bhuvanagiri,Telangana,0.20588235294117663,0.29239766081871466
Mahabubnagar,Telangana,0.5464396284829722,0.13304093567251662
Nagarkurnool,Telangana,0.5201238390092877,0.14181286549707828
Wanaparthy,Telangana,0.12848297213622306,0.8888888888888911
Gadwal,Telangana,0.48761609907120773,0.8801169590643294
Narayanpet,Telangana,0.31424148606811153,0.6184210526315805
Vikarabad,Telangana,0.4551083591331273,0.3157894736842124
Siddipet,Telangana,0.4055727554179569,0.5043859649122808
Jangaon,Telangana,0.15479876160990713,0.3128654970760234
Warangal,Telangana,0.738390092879257,0.36842105263158054
Hanamkonda,Telangana,0.3034055727554179,0.3040935672514635
Mahabubabad,Telangana,0.15015479876160986,0.6842105263157912
Nirmal,Telangana,0.2693498452012384,1.0
Adilabad,Telangana,1.0,0.21345029239766333
Kumuram Bheem,Telangana,0.5294117647058827,0.809941520467838
Mancherial,Telangana,0.4055727554179569,0.4225146198830423
Asifabad,Telangana,0.8931888544891642,0.0
