District,State,Population_2011,Population_Density_per_sqkm,Area_sqkm,Urban_Population_Percent,Rural_Population_Percent,Population_Growth_Rate,Vulnerable_Population_Percent,Flood_Exposure_Index
49,0,0.0070825223156744,0.0208841876864659,0.1533135509396637,0.4387096774193548,0.5612903225806452,0.1677419354838709,1.0,0.2060409924487594
50,0,0.0337754503625958,0.0311364252780037,0.734915924826904,0.4929032258064516,0.5070967741935484,0.8580645161290325,0.7177419354838709,0.4919093851132686
45,0,0.0155285668895425,0.0350962842419311,0.2263105835806132,0.36,0.6400000000000001,0.3935483870967743,0.7903225806451614,0.4865156418554477
8,0,0.0163037786130732,0.0154597233523189,0.6872403560830861,0.6593548387096774,0.3406451612903226,0.3612903225806452,0.6975806451612904,0.4153182308522115
53,0,0.0231513898118499,0.0213181448331977,0.7238377843719089,0.5032258064516129,0.4967741935483871,0.0064516129032258,0.4637096774193548,0.4347357065803667
22,0,0.0350783556786047,0.0256577163005153,0.948961424332344,0.2103225806451612,0.7896774193548386,0.535483870967742,0.939516129032258,0.4595469255663431
11,0,0.0036626335808237,0.0189856251695145,0.0451038575667655,0.0735483870967741,0.926451612903226,0.2387096774193549,0.6169354838709676,0.2761596548004315
39,0,0.0014109654373354,0.0033631678871711,0.2672601384767556,0.2451612903225806,0.7548387096774192,0.7870967741935485,0.4879032258064516,0.1391585760517799
34,0,0.0085727696252419,0.0142663411988066,0.3535113748763601,0.735483870967742,0.2645161290322581,0.0451612903225805,0.9072580645161292,0.3872707659115427
24,0,0.0477675987998223,0.0337401681583943,1.0,0.4812903225806452,0.5187096774193547,0.3870967741935485,0.8629032258064516,0.3926645091693636
17,0,0.025317176607165,0.0187686465961486,0.9171117705242332,0.0980645161290322,0.901935483870968,0.1096774193548387,0.7620967741935484,0.2060409924487594
3,0,0.0305430925375997,0.0229997287767832,0.9129574678536104,1.0,0.0,0.1032258064516128,0.5362903225806451,0.226537216828479
7,0,0.0030531896098455,0.0197992948196365,0.0142433234421365,0.926451612903226,0.0735483870967741,0.1419354838709677,0.3185483870967742,0.4368932038834952
1,0,0.0016051462008101,0.0,0.9240356083086054,0.0,1.0,0.9225806451612903,0.3870967741935484,0.2405609492988134
2,0,0.0123757302307534,0.0162191483590995,0.4733926805143422,0.9625806451612904,0.0374193548387096,0.9290322580645164,0.6532258064516129,0.2513484358144552
5,0,0.0054194291896634,0.0043395714673176,0.7093966369930762,0.3767741935483871,0.623225806451613,0.6258064516129033,0.1290322580645161,0.0323624595469255
9,0,0.0122278339598049,0.0100895036615134,0.7732937685459941,0.2593548387096774,0.7406451612903227,0.5096774193548388,0.7137096774193549,0.2330097087378641
21,0,0.0053831068831476,0.0162191483590995,0.154104846686449,0.9122580645161288,0.0877419354838709,0.432258064516129,0.217741935483871,0.121898597626753
37,0,0.0320439821318433,0.0231624627068077,0.9560830860534124,0.9187096774193548,0.0812903225806451,0.5225806451612904,1.0,0.3182308522114347
44,0,0.006145547865067,0.0048277732573908,0.7361028684470821,0.896774193548387,0.1032258064516129,0.3161290322580646,0.2459677419354838,0.0722761596548004
47,0,0.0288911454730542,0.0208841876864659,0.9499505440158258,0.3638709677419355,0.6361290322580644,0.2903225806451613,0.157258064516129,0.1909385113268608
13,1,1.0,1.0,0.6909990108803165,0.8683870967741936,0.1316129032258064,0.0838709677419354,0.7056451612903226,1.0
41,1,0.0296113195823428,0.0356929753186872,0.5349159248269041,0.1135483870967741,0.8864516129032258,0.1612903225806452,0.5403225806451614,0.5587918015102482
29,1,0.0503072005672929,0.0626525630593978,0.5179030662710188,0.3754838709677419,0.6245161290322581,0.4580645161290323,0.6895161290322581,0.7971952535059331
42,1,0.0073842846125258,0.0122050447518307,0.3566765578635015,0.2387096774193547,0.7612903225806451,0.3290322580645162,0.5483870967741936,0.3290183387270766
28,1,0.0310576501502942,0.0348250610252237,0.5841740850642928,0.3238709677419354,0.6761290322580644,0.7096774193548386,0.6895161290322581,0.5242718446601942
36,1,0.0216004499935793,0.0329807431516137,0.3954500494559841,0.9574193548387095,0.0425806451612903,1.0,0.3911290322580645,0.3290183387270766
18,1,0.004415905825176,0.0050989964740981,0.5084075173095944,0.1625806451612902,0.8374193548387097,0.3225806451612903,0.3467741935483871,0.1747572815533981
14,1,0.0453542560901953,0.0352590181719555,0.8987141444114737,0.7096774193548387,0.2903225806451613,1.0,0.4193548387096775,0.5339805825242718
40,1,0.0313475610981749,0.0283157038242473,0.7497527200791295,0.7225806451612904,0.2774193548387096,0.3483870967741936,0.6975806451612904,0.3937432578209277
19,1,0.015305620471393,0.0313534038513696,0.2635014836795252,0.096774193548387,0.903225806451613,0.3806451612903226,0.4596774193548387,0.4358144552319309
38,1,0.0143144144494064,0.0344995931651749,0.2045499505440158,0.2993548387096774,0.7006451612903226,0.7419354838709679,0.4112903225806451,0.3063646170442287
16,1,0.0107359619700916,0.0084621643612693,0.7960435212660731,0.8864516129032258,0.1135483870967741,0.4903225806451613,0.0,0.0949298813376483
30,1,0.0023072221289395,0.0005424464334147,0.9273986152324432,0.3070967741935484,0.6929032258064516,0.0,0.1814516129032257,0.2599784250269688
