SNo,Period,State,LE,E,N,D,LD,NR,ND,Total
0.0,0,0,0.0,0.0,0.0,0.0454545454545454,0.0769230769230769,0.0,0.0,0.027027027027027
0.0285714285714285,0,2,0.0,0.0,0.0,0.0454545454545454,0.3846153846153846,0.1081081081081081,0.3333333333333333,0.2027027027027027
0.0571428571428571,0,3,0.0,0.0,0.0,0.0,0.1923076923076923,0.7837837837837838,0.3333333333333333,0.4594594594594595
0.0857142857142857,0,22,0.0,0.0,0.0,0.0,0.0,0.2972972972972973,0.0,0.1351351351351351
0.1142857142857142,0,24,0.0,0.0,0.0,0.0,0.0,0.2162162162162162,1.0,0.1351351351351351
0.1428571428571428,0,21,0.0,0.0,0.0,0.0,0.0,0.2162162162162162,0.3333333333333333,0.1081081081081081
0.1714285714285714,0,23,0.0,0.0,0.0,0.0,0.0,0.1621621621621621,0.6666666666666666,0.0945945945945946
0.1999999999999999,0,32,0.0,0.0,0.0,0.0,0.0,0.2162162162162162,0.0,0.0945945945945946
0.2285714285714285,0,29,0.0,0.0,0.0,0.0,0.1538461538461538,0.054054054054054,0.0,0.0675675675675675
0.2571428571428571,0,35,0.0,0.0,0.0,0.0,0.1538461538461538,0.5135135135135136,0.0,0.2972972972972973
0.2857142857142857,0,25,0.0,0.0,0.0,0.0,0.0,0.8108108108108109,0.0,0.3918918918918919
0.3142857142857143,0,14,0.0,0.0,0.0,0.0,0.0,0.6486486486486487,0.0,0.3108108108108108
0.3428571428571428,0,4,0.0,0.0,0.0,0.0,0.0384615384615384,1.0,0.0,0.5000000000000001
0.3714285714285714,0,33,0.0833333333333333,0.2857142857142857,1.0,1.0,1.0,0.3513513513513513,0.0,1.0
0.3999999999999999,0,34,0.0,0.0,0.4,0.4090909090909091,0.0,0.0,0.0,0.1621621621621621
0.4285714285714285,0,11,0.0416666666666666,0.5714285714285714,0.6000000000000001,0.4545454545454546,0.0384615384615384,0.0,0.0,0.2837837837837837
0.4571428571428571,0,5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.4857142857142856,0,8,0.0,0.1428571428571428,0.1,0.3181818181818182,0.0,0.0,0.3333333333333333,0.1216216216216216
0.5142857142857142,0,27,0.125,0.4285714285714285,0.8,0.1363636363636363,0.1923076923076923,0.0,0.0,0.2837837837837837
0.5428571428571428,0,12,0.0,0.2857142857142857,0.6000000000000001,0.1363636363636363,0.0384615384615384,0.0,0.0,0.1486486486486486
0.5714285714285714,0,13,0.0,0.1428571428571428,0.5,0.3636363636363636,0.2307692307692307,0.0,0.0,0.2567567567567568
0.6,0,17,0.0,0.1428571428571428,0.0,0.0454545454545454,0.0,0.0,0.0,0.0135135135135135
0.6285714285714286,0,28,0.0,1.0,0.7000000000000001,0.5454545454545454,0.1153846153846153,0.1081081081081081,0.0,0.4324324324324324
0.6571428571428571,0,19,0.2083333333333333,0.7142857142857142,0.3,0.3181818181818182,0.7307692307692308,0.3513513513513513,0.0,0.6891891891891893
0.6857142857142857,0,10,0.0416666666666666,0.2857142857142857,0.1,0.0,0.1538461538461538,0.6756756756756757,0.0,0.4324324324324324
0.7142857142857143,0,7,0.0,0.0,0.0,0.0,0.0,0.054054054054054,0.3333333333333333,0.027027027027027
0.7428571428571428,0,9,0.0,0.0,0.0,0.0,0.0,0.054054054054054,0.0,0.0135135135135135
0.7714285714285714,0,20,0.125,0.0,0.1,0.0,0.5,0.5135135135135136,0.0,0.472972972972973
0.7999999999999999,0,6,0.0,0.0,0.0,0.0,0.0384615384615384,0.8648648648648649,0.0,0.4324324324324324
0.8285714285714285,0,1,0.0,0.0,0.1,0.0,0.4230769230769231,0.3513513513513513,0.3333333333333333,0.3378378378378378
0.8571428571428571,0,31,0.0,0.0,0.0,0.0,0.2307692307692307,0.7297297297297298,0.0,0.4324324324324324
0.8857142857142857,0,30,1.0,0.2857142857142857,0.3,0.2272727272727273,0.1538461538461538,0.0,0.0,0.5000000000000001
0.9142857142857144,0,26,0.0833333333333333,0.0,0.0,0.0,0.0384615384615384,0.027027027027027,0.0,0.0405405405405405
0.9428571428571428,0,15,0.0833333333333333,0.2857142857142857,0.2,0.0909090909090909,0.576923076923077,0.2162162162162162,0.0,0.4054054054054055
0.9714285714285714,0,16,0.1666666666666666,0.0,0.1,0.2272727272727273,0.1538461538461538,0.0,0.0,0.1756756756756756
1.0,0,18,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0
