State,Year,Annual_Rainfall_mm,Normal_Rainfall_mm,Departure_Percent,Monsoon_Rainfall_mm,Monsoon_Percent_of_Annual,Rainfall_Category,Flood_Events,Drought_Declared,Peak_Month,Peak_Month_Rainfall_mm,Jan_mm,Feb_mm,Mar_mm,Apr_mm,May_mm,Jun_mm,Jul_mm,Aug_mm,Sep_mm,Oct_mm,Nov_mm,Dec_mm
Andhra Pradesh,0.0,0.06712287662326838,0.0930546190155091,0.3755795981452859,0.06698395066457273,0.44892086330935266,Normal,0.0,0.0,Jul,0.071741970057273,0.22847399829497017,0.1382734912146677,0.09365781710914453,0.015285599356395816,0.04443980805341123,0.06153084790498186,0.07613587119570651,0.07330258581581732,0.07719472493516527,0.05669421487603305,0.1314868804664723,0.15956678700361013
Andhra Pradesh,0.11111111111111427,0.05895444012869455,0.0930546190155091,0.21329211746522414,0.05669935266403647,0.4057553956834534,Normal,0.0,0.0,Jul,0.06011990487992767,0.0,0.0,0.0,0.0667739340305712,0.05946171500104319,0.05861651820081381,0.06456881896063202,0.05814305156509904,0.05992385366661149,0.05999999999999999,0.06297376093294461,0.13862815884476534
Andhra Pradesh,0.22222222222220012,0.058312634404120905,0.0930546190155091,0.2009273570324575,0.06140115677787568,0.5093525179856115,Normal,0.0,0.0,Jul,0.06400509093344944,0.07075873827791987,0.08708938120702826,0.0,0.07924376508447305,0.036928854579595244,0.053007808204113056,0.06843561452048401,0.07001360955693331,0.07068366164542295,0.05735537190082645,0.020699708454810496,0.10902527075812274
Andhra Pradesh,0.3333333333333144,0.07043192691749879,0.0930546190155091,0.4420401854714065,0.07018232657907841,0.4474820143884892,Normal,0.0,0.0,Jul,0.0676223331212111,0.0,0.06875477463712758,0.0,0.13958165728077235,0.05633215105361987,0.0781370284834488,0.07203573452448413,0.07538182368062905,0.07691883242288805,0.06537190082644627,0.13498542274052477,0.14584837545126353
Andhra Pradesh,0.44444444444442865,0.0955873772650741,0.0930546190155091,0.9443585780525503,0.09391159459148889,0.43453237410071943,Excess,0.8571428571428571,0.0,Jul,0.09307700036842281,0.23870417732310317,0.12299465240641712,0.21460176991150443,0.03177795655671762,0.07636136031712916,0.08940943582975916,0.097369912330411,0.09848026614244669,0.09584505876510512,0.1115702479338843,0.08979591836734693,0.024548736462093865
Andhra Pradesh,0.5555555555555429,0.062155133612282656,0.0930546190155091,0.27666151468315303,0.06107557360094994,0.43021582733812935,Normal,0.0,0.0,Jul,0.055330408279465455,0.0,0.0,0.0,0.053499597747385365,0.05946171500104319,0.061805784669526014,0.05980199339977999,0.06226372296990775,0.07233901671908624,0.07719008264462811,0.08396501457725948,0.18194945848375452
Andhra Pradesh,0.6666666666666572,0.08105922949972494,0.0930546190155091,0.6537867078825348,0.08286091852759797,0.4791366906474821,Normal,0.21428571428571427,0.0,Jul,0.08306259838563822,0.23017902813299235,0.18640183346065697,0.061946902654867256,0.018905872888173775,0.07636136031712916,0.0887495875948532,0.08740291343044768,0.08706336004838953,0.08149864812668985,0.08834710743801653,0.07784256559766764,0.21155234657039712
Andhra Pradesh,0.7777777777777715,0.08658542684248255,0.0930546190155091,0.7650695517774343,0.08208526448845138,0.3928057553956834,Normal,0.5,0.0,Jul,0.08112000535887731,0.11594202898550725,0.16730328495034374,0.0803834808259587,0.09292035398230089,0.08658460254537868,0.08011657318816673,0.08546951565052167,0.08411462271283834,0.09496220272581803,0.08570247933884298,0.09825072886297377,0.19783393501805055
Andhra Pradesh,0.8888888888888857,0.07870872022271493,0.0930546190155091,0.60741885625966,0.07898264833186502,0.45755395683453237,Normal,0.0,0.0,Jul,0.08014870884549688,0.10059676044330777,0.0,0.20575221238938052,0.09774738535800484,0.10098059670352598,0.09111404376993291,0.08450281676055868,0.08022077725691819,0.07542901285659107,0.08256198347107438,0.05597667638483965,0.04909747292418773
Andhra Pradesh,1.0,0.0927534299098138,0.0930546190155091,0.8871715610510046,0.08960240548511895,0.41438848920863314,Excess,0.07142857142857142,0.0,Jul,0.08590950195933952,0.04092071611253197,0.0,0.04498525073746312,0.16090104585679807,0.07990819945754225,0.09985703288243705,0.09023634121137371,0.09511568123393316,0.09374827567179828,0.0868595041322314,0.10758017492711369,0.08086642599277978
Telangana,0.0,0.05558704385950289,0.09530231512699483,0.1205564142194745,0.05849006013712797,0.5079136690647483,Deficient,0.0,0.0,Jul,0.061560103158388314,0.0076726342710997444,0.1917494270435447,0.0022123893805309734,0.06234915526950925,0.07865637387857292,0.05685692290773123,0.06600220007333576,0.06725389384545591,0.055675108977542354,0.060991735537190075,0.04139941690962099,0.0
Telangana,0.11111111111111427,0.05131945254805208,0.09530231512699483,0.037094281298299836,0.05059945608457502,0.4316546762589928,Deficient,0.0,1.0,Jul,0.046186823860401245,0.09633418584825236,0.053475935828877004,0.0,0.019710378117457766,0.0913832672647611,0.04987352908830969,0.0507016900563352,0.05583698775139875,0.06764884401037356,0.048347107438016526,0.08017492711370262,0.12490974729241879
Telangana,0.22222222222220012,0.06164669011619185,0.09530231512699483,0.23802163833075735,0.05851878806450378,0.3913669064748202,Normal,0.0,0.0,Jul,0.06581371202733027,0.1466325660699062,0.0213903743315508,0.09882005899705015,0.08688656476267097,0.07072814521176717,0.05685692290773123,0.07023567452248407,0.06358687433842432,0.060254924681344156,0.05190082644628099,0.08163265306122448,0.10974729241877257
Telangana,0.3333333333333144,0.05026922499874974,0.09530231512699483,0.017001545595054124,0.048856628490443185,0.41582733812949635,Deficient,0.0,1.0,Jul,0.05576581706132566,0.061381074168797956,0.0,0.09292035398230088,0.002011263073209976,0.07218860838723139,0.052128010557571755,0.06023534117803927,0.04948586118251927,0.05236439883021576,0.043057851239669424,0.10845481049562683,0.15740072202166067
Telangana,0.44444444444442865,0.06269691766549419,0.09530231512699483,0.2596599690880989,0.06490596391772321,0.49064748201438846,Normal,0.0,0.0,Jul,0.06772281207087115,0.12446717817561807,0.15966386554621848,0.07743362831858407,0.07119871279163315,0.04715209680784478,0.05795666996590784,0.07213573785792858,0.0734159987902616,0.07118026816752193,0.0628099173553719,0.05451895043731778,0.12490974729241879
Telangana,0.5555555555555429,0.09559571240435427,0.09530231512699483,0.9010819165378671,0.09552993450032558,0.4546762589928057,Excess,0.14285714285714285,0.0,Jul,0.09686170747228455,0.2361466325660699,0.17876241405653168,0.13200589970501472,0.03097345132743363,0.07344043396620072,0.10821511052457937,0.10113670455681854,0.09273400877060335,0.09209292059813498,0.10611570247933884,0.0489795918367347,0.0
Telangana,0.6666666666666572,0.07441612349342358,0.09530231512699483,0.48840803709428127,0.07452024361282417,0.4532374100719425,Normal,0.0,0.0,Jul,0.0723783367384533,0.06479113384484228,0.2245989304812834,0.0,0.0,0.08011683705403715,0.07142857142857144,0.07676922564085469,0.08271586269469226,0.08475417977156101,0.07338842975206611,0.0892128279883382,0.07220216606498195
Telangana,0.7777777777777715,0.08216780302398854,0.09530231512699483,0.6398763523956723,0.08473780978281688,0.49064748201438846,Normal,0.2857142857142857,0.0,Jul,0.07994775094617677,0.005115089514066497,0.10847975553857905,0.21902654867256635,0.08286403861625101,0.1222616315460046,0.08473551083250853,0.08430281009366977,0.08895357628912746,0.09126524306130332,0.09950413223140496,0.06093294460641399,0.07581227436823106
Telangana,0.8888888888888857,0.05066931168419825,0.09530231512699483,0.02472952086553326,0.05227525184816333,0.48201438848920874,Deficient,0.0,1.0,Aug,0.049201192350202635,0.10741687979539642,0.0,0.1799410029498525,0.12791633145615447,0.0913832672647611,0.052128010557571755,0.048334944498149936,0.061810071072130636,0.05468189593334437,0.07165289256198347,0.11341107871720116,0.15090252707581228
Telangana,1.0,0.0645723240035341,0.09530231512699483,0.2952086553323029,0.06696479871298885,0.4935251798561151,Normal,0.0,0.0,Jul,0.06688548749037077,0.03324808184143223,0.17188693659281892,0.008112094395280236,0.014883346741753822,0.07531817233465471,0.07835697789508414,0.07130237674589152,0.07027823983063662,0.06119295922308669,0.07380165289256198,0.13119533527696792,0.0
Tamil Nadu,0.0,0.08024238585026755,0.10069678579456057,0.5208655332302936,0.08561879955567474,0.530935251798561,Normal,0.0,0.0,Jul,0.08416786683189872,0.216538789428815,0.15278838808250572,0.13421828908554573,0.11584875301689462,0.07469225954517004,0.07973166171780491,0.0885029500983366,0.08955844548616361,0.09374827567179828,0.09917355371900827,0.09183673469387756,0.07509025270758123
Tamil Nadu,0.11111111111111427,0.09538733392234984,0.10069678579456057,0.8021638330757341,0.09254223005324244,0.4201438848920864,Excess,0.7142857142857142,0.0,Jul,0.08979468801286129,0.15515771526001707,0.15431627196333078,0.17699115044247787,0.16049879324215607,0.0880450657208429,0.09650280435499836,0.09410313677122568,0.10116437320429457,0.09043756552447167,0.09942148760330578,0.11137026239067056,0.025992779783393503
Tamil Nadu,0.22222222222220012,0.09873805991298115,0.10069678579456057,0.8639876352395672,0.10283640402957063,0.5050359712230215,Excess,0.21428571428571427,0.0,Jul,0.09552198814348394,0.022165387894288152,0.0,0.03466076696165192,0.10699919549477073,0.09034007928228667,0.10975475640602662,0.09980332677755924,0.11035082413428096,0.1030734425867682,0.11520661157024793,0.07434402332361516,0.06498194945848376
Tamil Nadu,0.3333333333333144,0.08668544851384466,0.10069678579456057,0.6398763523956723,0.08469950587964915,0.42733812949640293,Normal,0.3571428571428571,0.0,Jul,0.08567505107679942,0.17220801364023872,0.23071046600458364,0.08702064896755163,0.061142397425583264,0.11746296682662216,0.085560321126141,0.09000300010000332,0.08490851353394828,0.0815538266291453,0.10719008264462809,0.13644314868804663,0.1371841155234657
Tamil Nadu,0.44444444444442865,0.055370330238218274,0.10069678579456057,0.0587326120556414,0.05878691538667791,0.5179856115107915,Deficient,0.0,1.0,Jul,0.05687108550758616,0.20460358056265987,0.03896103896103895,0.0,0.0,0.03505111621114125,0.06917408995930936,0.06133537784592819,0.06029789807954029,0.0643933123655024,0.05876033057851239,0.0912536443148688,0.0
Tamil Nadu,0.5555555555555429,0.08282627902712254,0.10069678579456057,0.5687789799072642,0.08265024706017544,0.45035971223021587,Normal,0.0,0.0,Jul,0.08902434939880095,0.0,0.0,0.03171091445427728,0.02011263073209976,0.055080325474650534,0.08264599142197296,0.0933364445481516,0.08252684107061847,0.07758097445235336,0.09677685950413223,0.1291545189504373,0.03249097472924188
Tamil Nadu,0.6666666666666572,0.07734175738076583,0.10069678579456057,0.4667697063369397,0.07880070479181829,0.47482014388489224,Normal,0.0,0.0,Jul,0.08289513346953814,0.13640238704177324,0.0,0.20648967551622419,0.1427996781979083,0.06342582933444607,0.07071373584075663,0.08723624120804026,0.08195977619839709,0.08365060972245214,0.0887603305785124,0.10087463556851312,0.20072202166064984
Tamil Nadu,0.7777777777777715,0.10327237568139763,0.10069678579456057,0.9489953632148377,0.10676255410426325,0.49640287769784175,Excess,0.9285714285714285,0.0,Jul,0.10731151823692936,0.236999147485081,0.14209320091673033,0.1851032448377581,0.13395012067578438,0.11558522845816817,0.0988672605300781,0.11153705123504115,0.11269469227279601,0.11129503945262925,0.11892561983471074,0.13236151603498542,0.010108303249097473
Tamil Nadu,0.8888888888888857,0.05597046026639105,0.10069678579456057,0.06955177743431218,0.05594285057647375,0.4474820143884892,Deficient,0.0,1.0,Jul,0.060253876812807715,0.0,0.0,0.0,0.08930008045052293,0.026288337158355938,0.05625206202573408,0.06470215673855793,0.053417510963254186,0.06847652154720521,0.05421487603305784,0.02040816326530612,0.1104693140794224
Tamil Nadu,1.0,0.08622701585343491,0.10069678579456057,0.6321483771251932,0.09020569196001074,0.5079136690647483,Normal,1.0,0.0,Jul,0.09012961784506145,0.22335890878090367,0.15660809778456836,0.1710914454277286,0.053901850362027354,0.06551220529939496,0.0956779940613659,0.09443648121604051,0.09825344019355814,0.08966506649009547,0.0871900826446281,0.1291545189504373,0.03393501805054152
